Table,Number,SKU,Wine,Vintage,1Price,6Price
5,33,1030123,Mourchon Seguret Tradition Cotes du Rhone Villages,2023,18.99,16.99
5,34,0938123,Mourchon Seguret Grand Reserve Cotes du Rhone Villages,2023,22,19
6,35,4574724,Shaw and Smith Sauvignon Blanc,2024,21,19
6,36,1107223,Pieropan Soave Classico Calvarino Organic,2023,27,25
6,37,2962521,Greywacke Marlborough Chardonnay,2021,33,31
6,38,3084324,Crystallum The Agnes Chardonnay,2024,30,28
6,39,3808522,Greywacke Marlborough Pinot Noir,2022,35,33
6,40,3084124,Crystallum Peter Max Pinot Noir,2024,34,32
6,41,4574821,Shaw and Smith Shiraz,2021,35,33
6,42,2447922,Allegrini Palazzo della Torre,2022,21,19
7,43,4438124,La Multa Albilla Sobre Lias,2024,14.99,10.99
7,44,4206424,Passionada Alvarinho,2024,13.99,11.99
7,45,4263722,Muga El Anden de la Estacion Rioja Crianza,2022,18,16
7,48,4513223,Quinta do Casal Branco Cuvee Comte Louis de Narbonne-Lara,2023,13.99,10.99
7,46,4544720,Seleccion Especial Numerada 70 Toro Reserva,2020,25,25
7,47,4548921,Venta del Puerto No12 Seleccion Especial,2021,19.99,19.99
8,49,4206224,Il Poeta Chardonnay,2024,14.99,12.99
8,50,0322024,Vesuvium Greco di Tufo,2024,13.99,11.99
8,51,2379520,Caroso Montepulciano Riserva,2020,14.99,10.99
8,52,2114720,Il Poeta Barolo,2020,22,20
8,53,0307724,La Fonte d'Oro Negroamaro Primitivo,2024,15.99,12.99
8,54,4540721,Bennati Amarone della Valpolicella,2021,25,24
9,55,4298322,Averys Fine Organic Riesling Pfalz,2022,14.99,11.99
9,56,1783623,Donnhoff Tonschiefer Dry Slate Riesling,2023,26,24
9,57,1658523,Max Ferd Richter Mulheimer Sonnenlay Riesling Zeppelin,2023,15.99,12.99
9,58,4549924,Lesehof Gruner Veltliner,2024,12.99,10.99
9,59,4141225,Excelsior Heritage Reserve Viognier,2025,14.99,10.99
